"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Enemy/Asteroid.ts", "TypeScript", 78, 0, 0, 14, 92
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Enemy/Enemy.ts", "TypeScript", 180, 0, 6, 22, 208
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Enemy/EnemyBoss.ts", "TypeScript", 13, 0, 0, 2, 15
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Enemy/EnemySpawner.ts", "TypeScript", 237, 0, 3, 43, 283
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Game UI/Hud.ts", "TypeScript", 205, 0, 12, 29, 246
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Game UI/InGameMenu.ts", "TypeScript", 239, 0, 0, 19, 258
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Game UI/PowerUp.ts", "TypeScript", 251, 0, 3, 33, 287
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Other/AnimationLoop.ts", "TypeScript", 25, 0, 1, 8, 34
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Other/canvasLogic.ts", "TypeScript", 30, 0, 33, 9, 72
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Player/Player.ts", "TypeScript", 229, 0, 2, 22, 253
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Player/PlayerInput.ts", "TypeScript", 189, 0, 14, 17, 220
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Player/PlayerSpells.ts", "TypeScript", 395, 0, 8, 57, 460
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Player/Projectile.ts", "TypeScript", 220, 0, 2, 30, 252
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Sprite/LevelImages.ts", "TypeScript", 20, 0, 7, 8, 35
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Sprite/Sprite.ts", "TypeScript", 30, 0, 9, 6, 45
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/Sprite/Vector.ts", "TypeScript", 8, 0, 0, 1, 9
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/LevelLogic/mainLevelLogic.ts", "TypeScript", 120, 0, 25, 24, 169
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/levelGenerator.ts", "TypeScript", 10, 0, 0, 5, 15
"/Users/rock/Documents/Projekti/2dGame/client/src/Level/levelStyling.css", "CSS", 0, 906, 12, 105, 1023
"/Users/rock/Documents/Projekti/2dGame/client/src/MainMenu/LevelSelection/LevelSelectionGenerator.ts", "TypeScript", 24, 0, 0, 9, 33
"/Users/rock/Documents/Projekti/2dGame/client/src/MainMenu/LevelSelection/LevelSelectionLogic.ts", "TypeScript", 31, 0, 0, 8, 39
"/Users/rock/Documents/Projekti/2dGame/client/src/MainMenu/LevelSelection/LevelSelectionStyling.css", "CSS", 0, 112, 1, 23, 136
"/Users/rock/Documents/Projekti/2dGame/client/src/MainMenu/MainMenuGenerator.ts", "TypeScript", 25, 0, 0, 5, 30
"/Users/rock/Documents/Projekti/2dGame/client/src/MainMenu/MainMenuLogic.ts", "TypeScript", 177, 0, 21, 43, 241
"/Users/rock/Documents/Projekti/2dGame/client/src/MainMenu/MainMenuStyling.css", "CSS", 0, 275, 13, 38, 326
"/Users/rock/Documents/Projekti/2dGame/client/src/Stores/LevelStore.ts", "TypeScript", 73, 0, 0, 12, 85
"/Users/rock/Documents/Projekti/2dGame/client/src/Stores/MenuStore.ts", "TypeScript", 41, 0, 0, 9, 50
"/Users/rock/Documents/Projekti/2dGame/client/src/Utils/Icons.ts", "TypeScript", 4, 0, 0, 1, 5
"/Users/rock/Documents/Projekti/2dGame/client/src/Utils/IconsExports.ts", "TypeScript", 7, 0, 0, 2, 9
"/Users/rock/Documents/Projekti/2dGame/client/src/Utils/OftenUsed.ts", "TypeScript", 28, 0, 0, 5, 33
"/Users/rock/Documents/Projekti/2dGame/client/src/Utils/TsTypes.ts", "TypeScript", 159, 0, 0, 20, 179
"/Users/rock/Documents/Projekti/2dGame/client/src/index.ts", "TypeScript", 11, 0, 0, 2, 13
"Total", "-", 3059, 1293, 172, 631, 5155
