"filename", "language", "TypeScript", "CSS", "JSON", "JSON with Comments", "XML", "HTML", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/2dGame/client/index.html", "HTML", 0, 0, 0, 0, 0, 36, 0, 1, 37
"/Users/rock/Documents/Projekti/2dGame/client/package-lock.json", "JSON", 0, 0, 12886, 0, 0, 0, 0, 1, 12887
"/Users/rock/Documents/Projekti/2dGame/client/package.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 1, 32
"/Users/rock/Documents/Projekti/2dGame/client/public/images/SpaceBomberman.html", "HTML", 0, 0, 0, 0, 0, 28, 1, 4, 33
"/Users/rock/Documents/Projekti/2dGame/client/public/images/SpaceBomberman_files/Level1Styling.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/rock/Documents/Projekti/2dGame/client/public/images/SpaceBomberman_files/LevelSelectionStyling.css", "CSS", 0, 112, 0, 0, 0, 0, 1, 23, 136
"/Users/rock/Documents/Projekti/2dGame/client/public/images/SpaceBomberman_files/MainMenuStyling.css", "CSS", 0, 274, 0, 0, 0, 0, 13, 37, 324
"/Users/rock/Documents/Projekti/2dGame/client/public/vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Enemy/Asteroid.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 0, 15, 108
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Enemy/Enemy.ts", "TypeScript", 187, 0, 0, 0, 0, 0, 6, 22, 215
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Enemy/EnemySpawner.ts", "TypeScript", 274, 0, 0, 0, 0, 0, 3, 51, 328
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Game UI/Hud.ts", "TypeScript", 285, 0, 0, 0, 0, 0, 13, 43, 341
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Game UI/InGameMenu.ts", "TypeScript", 131, 0, 0, 0, 0, 0, 1, 17, 149
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Game UI/PowerUp.ts", "TypeScript", 251, 0, 0, 0, 0, 0, 10, 32, 293
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Other/AnimationLoop.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 1, 11, 46
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Other/GameOptimization.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Other/Keydown.ts", "TypeScript", 162, 0, 0, 0, 0, 0, 15, 15, 192
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Other/Sounds.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 14, 69
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Other/Tutorial.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 0, 24, 130
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Other/canvasLogic.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 33, 9, 72
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Player/Player.ts", "TypeScript", 233, 0, 0, 0, 0, 0, 4, 23, 260
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Player/PlayerInput.ts", "TypeScript", 190, 0, 0, 0, 0, 0, 5, 17, 212
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Player/PlayerSpells.ts", "TypeScript", 480, 0, 0, 0, 0, 0, 10, 58, 548
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Player/Projectile.ts", "TypeScript", 234, 0, 0, 0, 0, 0, 9, 31, 274
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Sprite/LevelImages.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 7, 8, 35
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Sprite/Sprite.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 9, 6, 54
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/Sprite/Vector.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/LevelLogic/mainLevelLogic.ts", "TypeScript", 140, 0, 0, 0, 0, 0, 22, 27, 189
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/levelGenerator.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 5, 15
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/Level/levelStyling.css", "CSS", 0, 1077, 0, 0, 0, 0, 23, 137, 1237
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/MainMenu/MainMenu.ts", "TypeScript", 330, 0, 0, 0, 0, 0, 7, 53, 390
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/MainMenu/MainMenuLogic.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 7, 25, 126
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/MainMenu/MainMenuStyling.css", "CSS", 0, 625, 0, 0, 0, 0, 35, 88, 748
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/MainMenu/MenuScreens/Leaderboards.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 2, 16, 77
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/MainMenu/MenuScreens/MenuScreen.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 12, 71
"/Users/rock/Documents/Projekti/2dGame/client/src/Game/MainMenu/MenuScreens/Settings.ts", "TypeScript", 190, 0, 0, 0, 0, 0, 4, 25, 219
"/Users/rock/Documents/Projekti/2dGame/client/src/Services/MainService.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 10, 48
"/Users/rock/Documents/Projekti/2dGame/client/src/Stores/LevelStore.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 12, 85
"/Users/rock/Documents/Projekti/2dGame/client/src/Stores/MenuStore.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 9, 55
"/Users/rock/Documents/Projekti/2dGame/client/src/Utils/IconsExports.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 0, 10, 98
"/Users/rock/Documents/Projekti/2dGame/client/src/Utils/OftenUsed.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/rock/Documents/Projekti/2dGame/client/src/Utils/TsTypes.ts", "TypeScript", 207, 0, 0, 0, 0, 0, 0, 24, 231
"/Users/rock/Documents/Projekti/2dGame/client/src/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/rock/Documents/Projekti/2dGame/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 2, 3, 26
"Total", "-", 4212, 2088, 12917, 21, 1, 64, 243, 934, 20480
